Detectado,Acuracia
bottle, 0.9275
chair, 0.6520
person, 0.9979
bottle, 0.9700
person, 0.9611
chair, 0.9570
chair, 0.6608
chair, 0.6591
person, 0.9976
bottle, 0.9701
chair, 0.9465
laptop, 0.5904
person, 0.9978
chair, 0.9710
bottle, 0.9653
chair, 0.5218
person, 0.9983
bottle, 0.9770
chair, 0.9276
laptop, 0.5426
chair, 0.5328
person, 0.9973
bottle, 0.9711
chair, 0.9412
laptop, 0.6377
laptop, 0.5853
person, 0.9969
bottle, 0.9797
chair, 0.8945
person, 0.9980
bottle, 0.9779
chair, 0.9721
person, 0.9962
bottle, 0.9790
chair, 0.9694
person, 0.7224
chair, 0.5115
person, 0.9974
chair, 0.9691
bottle, 0.9102
person, 0.9088
chair, 0.7284
chair, 0.5757
person, 0.9975
chair, 0.9584
bottle, 0.9285
person, 0.7672
person, 0.9931
chair, 0.9731
bottle, 0.9727
person, 0.9243
person, 0.9724
bottle, 0.9619
chair, 0.7851
chair, 0.6761
person, 0.9944
person, 0.9847
bottle, 0.9719
person, 0.9809
bottle, 0.9629
person, 0.9273
laptop, 0.5040
bottle, 0.9668
person, 0.9550
person, 0.8296
person, 0.9899
bottle, 0.9747
person, 0.9309
person, 0.9976
person, 0.9791
bottle, 0.9751
chair, 0.8478
chair, 0.5287
person, 0.9970
bottle, 0.9759
chair, 0.8915
chair, 0.8288
person, 0.8167
chair, 0.6502
person, 0.9973
bottle, 0.9788
chair, 0.9456
chair, 0.9081
person, 0.8490
chair, 0.5876
person, 0.9983
bottle, 0.9830
person, 0.7747
person, 0.9983
person, 0.9947
bottle, 0.9758
chair, 0.9561
chair, 0.8504
chair, 0.7045
person, 0.9964
chair, 0.9735
bottle, 0.9692
chair, 0.8849
chair, 0.8286
laptop, 0.5509
person, 0.9991
chair, 0.9703
person, 0.9458
laptop, 0.9417
bottle, 0.9187
chair, 0.8156
chair, 0.7649
laptop, 0.5035
person, 0.9991
bottle, 0.9666
chair, 0.9550
person, 0.9238
chair, 0.8142
chair, 0.7264
laptop, 0.5421
person, 0.9990
bottle, 0.9827
chair, 0.9681
chair, 0.7823
laptop, 0.6879
chair, 0.6523
person, 0.6411
person, 0.9990
bottle, 0.9839
chair, 0.9725
chair, 0.8289
chair, 0.7419
person, 0.9989
chair, 0.9756
bottle, 0.9718
chair, 0.8639
chair, 0.7157
person, 0.9993
bottle, 0.9779
chair, 0.9709
chair, 0.7916
chair, 0.6234
person, 0.9963
bottle, 0.9774
chair, 0.9689
chair, 0.8262
chair, 0.6129
person, 0.9925
bottle, 0.9689
chair, 0.9343
chair, 0.7047
chair, 0.5322
person, 0.9986
bottle, 0.9776
chair, 0.9684
chair, 0.8293
chair, 0.6026
person, 0.9992
bottle, 0.9686
chair, 0.9500
chair, 0.5688
chair, 0.5676
person, 0.9946
bottle, 0.9627
chair, 0.9300
chair, 0.7106
person, 0.9957
bottle, 0.9630
chair, 0.9526
chair, 0.7575
chair, 0.6392
person, 0.9959
bottle, 0.9697
chair, 0.9630
chair, 0.7911
chair, 0.7458
person, 0.9968
chair, 0.9672
bottle, 0.9641
chair, 0.8361
chair, 0.5083
person, 0.9968
bottle, 0.9817
chair, 0.9704
chair, 0.7584
chair, 0.5609
person, 0.9990
bottle, 0.9631
chair, 0.9622
chair, 0.7686
person, 0.9973
bottle, 0.9597
chair, 0.9590
chair, 0.6667
chair, 0.5788
person, 0.9982
bottle, 0.9811
chair, 0.9587
chair, 0.7650
chair, 0.5900
person, 0.9968
bottle, 0.9763
chair, 0.9625
chair, 0.7855
person, 0.7452
chair, 0.6954
person, 0.9982
bottle, 0.9791
chair, 0.9684
laptop, 0.9126
person, 0.8809
chair, 0.8387
chair, 0.7179
laptop, 0.5316
person, 0.9974
person, 0.9545
bottle, 0.9384
chair, 0.8605
person, 0.9955
bottle, 0.9797
person, 0.8217
chair, 0.7707
person, 0.9916
bottle, 0.9531
chair, 0.5564
person, 0.9871
bottle, 0.9646
chair, 0.6971
person, 0.9979
bottle, 0.9559
person, 0.7773
person, 0.9827
bottle, 0.9104
person, 0.9935
person, 0.9134
person, 0.9958
